date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:22	47937/47937	---M-Z	200	added ('OK')	text/html	etag:%22d1945cc27e9d81:0%22	https://www.liverpool.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/index.html	(from )
18:25:22	272/272	---M-Z	200	added ('OK')	text/plain	etag:%22d7d1496d3d30d71:0%22	https://www.liverpool.ac.uk/robots.txt		(from )
18:25:23	0/-1	---M--	301	error ('MOVED%20PERMANENTLY')	text/html		http://www.liverpool.ac.uk/images/favicon.ico	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/images/favicon.0.delayed	(from https://www.liverpool.ac.uk/)
18:25:23	1406/1406	---M--	200	added ('OK')	image/x-icon	etag:%2280e5ae96848d01:0%22	https://www.liverpool.ac.uk/images/favicon.ico	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/images/favicon.ico	(from https://www.liverpool.ac.uk/)
18:25:24	0/-1	---M--	301	error ('MOVED%20PERMANENTLY')	text/html		http://www.liverpool.ac.uk/images/apple-touch-icon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/images/apple-touch-icon.2.delayed	(from https://www.liverpool.ac.uk/)
18:25:25	1350/1350	---M--	200	added ('OK')	image/png	etag:%2280159cf66748d01:0%22	https://www.liverpool.ac.uk/images/apple-touch-icon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/images/apple-touch-icon.png	(from https://www.liverpool.ac.uk/)
18:25:25	0/-1	---M--	301	error ('MOVED%20PERMANENTLY')	text/html		http://www.liverpool.ac.uk/files/css/master/master-2.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/files/css/master/master-2.4.delayed	(from https://www.liverpool.ac.uk/)
18:25:26	0/-1	---M--	301	error ('MOVED%20PERMANENTLY')	text/html		http://www.liverpool.ac.uk/files/css/master/home-page.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/files/css/master/home-page.6.delayed	(from https://www.liverpool.ac.uk/)
18:25:27	474685/474685	---MCZ	200	added ('OK')	text/css	etag:%22acefe93b85e4d81:0%22	https://www.liverpool.ac.uk/files/css/master/master-2.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/files/css/master/master-2.css	(from https://www.liverpool.ac.uk/)
18:25:28	0/-1	---M--	301	error ('MOVED%20PERMANENTLY')	text/html		http://www.liverpool.ac.uk/files/js/mmenu/jquery.mmenu.all.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/files/js/mmenu/jquery.mmenu.all.8.delayed	(from https://www.liverpool.ac.uk/)
18:25:28	70295/70295	---MCZ	200	added ('OK')	text/css	etag:%22106257993c6d81:0%22	https://www.liverpool.ac.uk/files/css/master/home-page.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/files/css/master/home-page.css	(from https://www.liverpool.ac.uk/)
18:25:29	0/-1	---M--	301	error ('MOVED%20PERMANENTLY')	text/html		http://www.liverpool.ac.uk/files/js/common-scripts/jquery/jquery-3.6.0.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/files/js/common-scripts/jquery/jquery-3.6.0.min.a.delayed	(from https://www.liverpool.ac.uk/)
18:25:29	94259/94259	---MCZ	200	added ('OK')	text/css	etag:%224af410261865d81:0%22	https://www.liverpool.ac.uk/files/js/mmenu/jquery.mmenu.all.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/files/js/mmenu/jquery.mmenu.all.css	(from https://www.liverpool.ac.uk/)
18:25:30	0/-1	---M--	301	error ('MOVED%20PERMANENTLY')	text/html		http://www.liverpool.ac.uk/files/js/push-out-menus/modernizr.custom.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/files/js/push-out-menus/modernizr.custom.c.delayed	(from https://www.liverpool.ac.uk/)
18:25:30	89501/89501	---M--	200	added ('OK')	application/javascript	etag:%228a1bc82e8445d71:0%22	https://www.liverpool.ac.uk/files/js/common-scripts/jquery/jquery-3.6.0.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/files/js/common-scripts/jquery/jquery-3.6.0.min.js	(from https://www.liverpool.ac.uk/)
18:25:31	9003/9003	---M--	200	added ('OK')	application/javascript	etag:%228fb1f2754fa5d11:0%22	https://www.liverpool.ac.uk/files/js/push-out-menus/modernizr.custom.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.liverpool.ac.uk/files/js/push-out-menus/modernizr.custom.js	(from https://www.liverpool.ac.uk/)
18:25:32	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2027%20Oct%202022%2012:56:21%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/www.googletagmanager.com/gtm.e5445.delayed	(from https://www.liverpool.ac.uk/)
18:25:33	4681/4681	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Oct%202022%2012:56:22%20GMT	https://use.typekit.net/nsk6wbr.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web23/Site20/use.typekit.net/nsk6wbr.css	(from https://www.liverpool.ac.uk/)
